ProductID,ProductName,Quantity,Price,LastUpdated
1,Milk,20,65,7/5/2025 15:00
2,Bread,30,60,7/5/2025 14:30
3,Sugar,15,120,7/4/2025 10:00
4,Flour,25,150,7/3/2025 16:45
5,Rice,40,,7/5/2025 9:15
5,Rice,40,80,7/5/2025 9:15
6,Cooking Oil,18,200,7/2/2025 12:00
7,Tea Leaves,22,90,7/5/2025 11:30
8,Coffee,10,250,7/4/2025 8:00
9,Maize Meal,35,,7/3/2025 14:20
10,Beans,28,110,7/5/2025 13:00
11,Soap Bar,50,40,7/4/2025 15:10
12,Toothpaste,15,,7/3/2025 9:45
12,Toothpaste,15,120,7/3/2025 9:45
13,Detergent,30,,7/5/2025 10:00
14,Toilet Paper,60,25,7/2/2025 11:30
15,Shampoo,12,150,7/4/2025 12:15
16,Butter,8,200,7/5/2025 8:30
17,Yoghurt,25,70,7/3/2025 13:00
18,Eggs,45,,7/5/2025 14:00
18,Eggs,45,15,7/5/2025 14:00
19,Salt,20,30,7/4/2025 9:00
20,Spaghetti,30,,7/2/2025 10:45
21,Juice,15,,7/5/2025 12:30
22,Water Bottle,50,50,7/3/2025 15:00
23,Soda,40,60,7/4/2025 11:00
24,Biscuits,35,45,7/5/2025 9:00
25,Cereal,18,220,7/3/2025 12:00
26,Margarine,12,180,7/4/2025 14:30
27,Jam,10,150,7/5/2025 10:15
28,Peanut Butter,8,200,7/2/2025 13:45
29,Honey,5,300,7/4/2025 8:30
30,Green Peas,25,80,7/5/2025 11:00
31,Lentils,20,90,7/3/2025 10:30
32,Chapati Flour,30,140,7/4/2025 12:00
33,Baking Powder,15,50,7/5/2025 13:30
34,Yeast,10,60,7/3/2025 9:15
35,Cocoa Powder,8,180,7/4/2025 15:45
36,Tomato Paste,20,70,7/5/2025 8:00
37,Soy Sauce,12,100,7/2/2025 11:00
38,Spices Mix,25,80,7/4/2025 10:45
39,Bar Chocolate,30,90,7/5/2025 12:15
40,Canned Beans,18,100,7/3/2025 14:00
41,Canned Corn,15,110,7/4/2025 9:30
42,Diapers,40,25,7/5/2025 11:45
43,Baby Food,10,200,7/3/2025 13:15
44,Hand Sanitizer,20,120,7/4/2025 8:00
45,Face Masks,50,10,7/5/2025 10:00
46,Laundry Soap,30,50,7/2/2025 12:30
47,Dishwashing Liquid,15,90,7/4/2025 14:00
48,Air Freshener,12,150,7/5/2025 9:45
49,Insect Repellent,10,180,7/3/2025 11:30
50,Light Bulbs,20,100,7/4/2025 12:45
51,Batteries,25,80,7/5/2025 8:15
52,Matches,60,5,7/3/2025 10:00
53,Candles,30,20,7/4/2025 13:00
54,Plastic Bags,50,10,7/5/2025 11:15
55,Paper Towels,20,70,7/3/2025 15:30
56,Cling Film,15,90,7/4/2025 9:00
57,Aluminum Foil,12,100,7/5/2025 12:00
58,Trash Bags,25,60,7/3/2025 14:45
59,Toothpicks,40,30,7/4/2025 10:30
60,Strawberries,8,250,7/5/2025 13:00
